1.30	1.28	1.25	1.22	1.20	1.19	1.15	1.14	1.11	1.06	1.04	0.96	0.90	0.83	0.74	0.66	0.61
1.75	1.71	1.68	1.63	1.62	1.59	1.55	1.52	1.47	1.43	1.39	1.30	1.20	1.12	0.99	0.90	0.80
2.18	2.15	2.10	2.05	2.02	1.99	1.94	1.91	1.84	1.78	1.75	1.62	1.51	1.41	1.25	1.12	1.01
3.08	3.01	2.96	2.88	2.84	2.79	2.74	2.69	2.59	2.50	2.47	2.27	2.11	1.97	1.75	1.57	1.43
3.96	3.88	3.81	3.72	3.65	3.59	3.52	3.46	3.33	3.22	3.17	2.93	2.72	2.55	2.26	2.02	1.83
4.84	4.73	4.66	4.55	4.47	4.39	4.31	4.23	4.08	3.94	3.88	3.60	3.33	3.12	2.76	2.47	2.24
5.72	5.61	5.51	5.38	5.29	5.19	5.09	5.00	4.84	4.66	4.60	4.24	3.94	3.68	3.25	2.92	2.64
6.60	6.47	6.36	6.22	6.10	5.99	5.88	5.78	5.57	5.40	5.30	4.90	4.55	4.26	3.76	3.36	3.04
7.48	7.34	7.22	7.05	6.92	6.79	6.66	6.55	6.33	6.12	6.01	5.56	5.16	4.82	4.26	3.81	3.46
8.36	8.20	8.07	7.88	7.74	7.59	7.45	7.32	7.06	6.84	6.73	6.22	5.78	5.40	4.77	4.28	3.86
9.26	9.07	8.92	8.71	8.55	8.39	8.25	8.09	7.82	7.56	7.43	6.87	6.39	5.96	5.27	4.73	4.28
10.14	9.93	9.77	9.55	9.37	9.19	9.03	8.87	8.57	8.28	8.14	7.53	7.00	6.54	5.77	5.17	4.68
11.90	11.66	11.49	11.21	11.00	10.80	10.60	10.41	10.06	9.72	9.56	8.84	8.22	7.67	6.78	6.07	5.49
13.66	13.39	13.18	12.88	12.64	12.40	12.17	11.97	11.55	11.16	10.99	10.16	9.43	8.81	7.78	6.98	6.31
14.56	14.26	14.03	13.71	13.46	13.20	12.96	12.73	12.30	11.89	11.69	10.81	10.04	9.39	8.30	7.43	6.73
18.98	18.60	18.29	17.88	17.54	17.22	16.90	16.60	16.03	15.49	15.23	14.08	13.09	12.24	10.81	9.68	8.76
23.39	22.92	22.55	22.04	21.62	21.22	20.84	20.47	19.77	19.11	18.79	17.36	16.15	15.07	13.33	11.93	10.81
27.81	27.26	26.81	26.21	25.71	25.23	24.78	24.33	23.50	22.71	22.35	20.65	19.19	17.92	15.84	14.19	12.85
36.68	35.88	35.40	34.60	33.96	33.32	32.68	32.04	30.96	29.92	29.44	27.20	25.29	23.63	20.87	18.69	16.93
45.49	44.53	43.89	42.93	42.13	41.33	40.53	39.73	38.44	37.16	36.52	33.80	31.38	29.31	25.92	23.21	21.02
63.11	61.83	60.87	59.59	58.47	57.35	56.22	55.26	53.34	51.58	50.78	46.93	43.57	40.69	36.04	32.20	29.19
71.92	70.48	69.36	67.92	66.64	65.36	64.07	62.95	60.87	58.79	57.83	53.50	49.66	46.45	41.01	36.68	33.32
80.89	79.29	78.01	76.25	74.81	73.36	72.08	70.80	68.24	66.00	64.87	60.07	55.74	52.06	45.97	41.33	37.32
89.70	87.94	86.50	84.58	82.98	81.37	79.93	78.49	75.77	73.20	72.08	66.64	61.83	57.83	51.10	45.81	41.49
